date,regime_label,regime_label_raw,prob_high_tpu,prob_high_tpu_smooth,prob_mid_tpu_smooth,prob_low_tpu_smooth,log_tpu,delta_log_tpu,vix,tpu
2024-07-11,Mid-TPU,Mid-TPU,0.003748326262965507,0.0016759363305060278,0.9895853533705777,0.008738710298899678,7.077784932246832,0.3849074601618723,12.85,1185.34
2024-07-12,Mid-TPU,Mid-TPU,0.003127593371903629,0.001676024189883597,0.9930633963910074,0.005260579419083024,6.987083885592344,-0.09070104665448842,12.92,1082.56
2024-07-15,Mid-TPU,Mid-TPU,0.00014219665868807905,0.0016657615506916485,0.9944865842455046,0.0038476542038142604,5.811380485254219,-1.1757034003381248,12.46,334.08
2024-07-16,Mid-TPU,Mid-TPU,4.505214824940803e-07,0.0014048047929460408,0.9941807523668231,0.004414442840260452,5.2644502970364595,-0.5469301882177593,13.12,193.34
2024-07-17,Mid-TPU,Mid-TPU,7.295702719060262e-08,0.001070106343682774,0.9928674766738708,0.006062416982488016,5.497209208059954,0.23275891102349444,13.19,244.01
2024-07-18,Mid-TPU,Mid-TPU,1.0913089237623668e-06,0.0007063371847991929,0.9872130814891129,0.012080581326123534,5.9748523250523276,0.4776431169923736,14.48,393.41
2024-07-19,Mid-TPU,Mid-TPU,5.7953749786057405e-06,0.0003315084823200296,0.9353856390721443,0.064282852445584,6.3913809562857296,0.416528631233402,15.93,596.68
2024-07-22,Mid-TPU,Mid-TPU,6.036866671629297e-06,1.874915696486984e-05,0.8578528068257425,0.1421284440173331,6.178110075381991,-0.2132708809037389,16.52,482.08
2024-07-23,Mid-TPU,Mid-TPU,1.3768697470171307e-05,4.53440224842e-06,0.7765638020680842,0.22343166352970306,6.437351569715061,0.25924149433307075,14.91,624.75
2024-07-24,Mid-TPU,Mid-TPU,1.8039827880860397e-05,4.489422301750045e-06,0.6883178265019821,0.31167768407571655,6.898391576029171,0.4610400063141098,14.72,990.68
2024-07-25,Mid-TPU,Low-TPU,3.9238173873845023e-08,4.48213679395006e-06,0.5972054052244413,0.402790112638806,5.321350065658609,-1.5770415103705622,18.04,204.66
